Sport,Parameter,R2,MSE
Alpine Skiing,drug,1.0,0.0
Alpine Skiing,equity,-0.9095558021785968,0.002502262865569788
Alpine Skiing,popularity,-2.512650838646974,0.00025556778545843836
Alpine Skiing,normalizedcountry,0.37835487705036563,0.0009638737140734694
Alpine Skiing,CV,-0.8220395154327103,0.029311089134904596
Alpinism,drug,1.0,0.0
Alpinism,equity,-1.0,0.125
Alpinism,popularity,-172.2796615001211,4.773685581874835e-06
Alpinism,normalizedcountry,0.0,0.00011624937440972141
Alpinism,CV,0.0,0.11428050371934245
Archery,drug,1.0,0.0
Archery,equity,-0.22656804208844905,0.019684967785610134
Archery,popularity,-0.8542116575430947,0.00020037142886326998
Archery,normalizedcountry,0.7420877880305962,0.0020614636533590044
Archery,CV,-1.087311655736725,0.06656496932546588
Art Competitions,drug,1.0,0.0
Art Competitions,equity,-1.5313566625910786,0.0034531642132069142
Art Competitions,popularity,-0.5985614543801392,0.018543480079867395
Art Competitions,normalizedcountry,-0.33169118622209814,0.0029158488264988017
Art Competitions,CV,-0.44861158540362656,0.025174052703612004
Athletics,drug,0.04697714937048858,281.51871441884384
Athletics,equity,0.9420992960123782,0.0016985080717756167
Athletics,popularity,-2.1213174042283285,0.003998939205308223
Athletics,normalizedcountry,0.8087973999241364,0.02077291260879694
Athletics,CV,-7.060012131189989,0.05416499465277163
Badminton,drug,1.0,0.0
Badminton,equity,-2.720112875878514,0.00038729726323040816
Badminton,popularity,-4.8497906734652245,2.107093970480427e-05
Badminton,normalizedcountry,-0.5124223268016266,0.002970229402913194
Badminton,CV,-6.685647718654813,0.010270867260470539
Baseball,drug,-0.09505701405681899,0.14114068181176773
Baseball,equity,1.0,0.0
Baseball,popularity,-7.307864755795849,9.350165406714733e-06
Baseball,normalizedcountry,1.0,0.0
Baseball,CV,-4.724666206563824,0.013106592535404244
Basketball,drug,-0.20879492001798616,0.038950058533912875
Basketball,equity,0.7412993052149865,0.012512840586443521
Basketball,popularity,-0.9506548026660713,8.001683782900584e-05
Basketball,normalizedcountry,-2.7284079109140995,0.0007410786094532964
Basketball,CV,0.26558782060941666,0.006830429107985074
Basque Pelota,drug,1.0,0.0
Beach Volleyball,drug,1.0,0.0
Beach Volleyball,equity,0.0,0.0013085528906515269
Beach Volleyball,popularity,-1.1799445712937144,1.6501375627198935e-06
Beach Volleyball,normalizedcountry,-10.004620938121484,6.602772562872865e-05
Beach Volleyball,CV,-1.6831076306964254,0.025747004638494476
Biathlon,drug,1.0,0.0
Biathlon,equity,-0.14285714285714302,0.020484297267403723
Biathlon,popularity,0.3970932540805503,2.520117794331664e-05
Biathlon,normalizedcountry,0.2808032822536676,0.00041775215597218614
Biathlon,CV,-1.112379889653385,0.014748674980467266
Bobsleigh,drug,1.0,0.0
Bobsleigh,equity,1.0,0.0
Bobsleigh,popularity,-1.5469212993836083,2.8346195805881396e-05
Bobsleigh,normalizedcountry,-0.17379405320637642,0.0006654993069518295
Bobsleigh,CV,-0.25150285960768404,0.03601829124628931
Boxing,drug,0.04694656086747995,0.17366751557525922
Boxing,equity,0.14512390139524578,0.011762309524848873
Boxing,popularity,-0.3380819454125532,2.2636994910592233e-05
Boxing,normalizedcountry,0.7399644747312708,0.004631160472945715
Boxing,CV,-1.4034992020527985,0.03199593587575796
Canoeing,drug,0.050716721131513376,0.08543549509816378
Canoeing,equity,0.7381854063033291,0.0038885619871644383
Canoeing,popularity,0.38440468034162756,2.4157800895305847e-05
Canoeing,normalizedcountry,0.7342207721761433,0.001357873457708412
Canoeing,CV,-0.7595650257530551,0.010993999408628906
Cricket,drug,1.0,0.0
Croquet,drug,1.0,0.0
Cross Country Skiing,drug,1.0,0.0
Cross Country Skiing,equity,0.801091971101328,0.004673646773899782
Cross Country Skiing,popularity,0.4181642293811567,4.4183207558057655e-05
Cross Country Skiing,normalizedcountry,0.5033699030385753,0.0007043318397350693
Cross Country Skiing,CV,-0.4067788585353611,0.01118181919969964
Curling,drug,1.0,0.0
Cycling,drug,0.054550421482445155,0.8572076178559165
Cycling,equity,0.5179434301913259,0.012209631765294694
Cycling,popularity,-12.013543730336194,0.0016503210204465838
Cycling,normalizedcountry,0.8391013264081464,0.0020377693873668275
Cycling,CV,-5.654578259684587,0.10233599373047002
Diving,drug,1.0,0.0
Diving,equity,0.08381751801296444,0.016879759799601924
Diving,popularity,-1.3227455658090466,2.15814473870191e-05
Diving,normalizedcountry,0.5329313791111394,0.0008935105629193409
Diving,CV,-13.64164417552503,0.16679651804968337
Equestrianism,drug,-0.03215763979645181,1.3177212534734706
Equestrianism,equity,0.7301756090992879,0.007469534422751056
Equestrianism,popularity,-0.08308843574751701,5.076829630740515e-05
Equestrianism,normalizedcountry,0.604931609169701,0.001111678555308591
Equestrianism,CV,-0.25752151044597604,0.015722236848776088
Fencing,drug,1.0,0.0
Fencing,equity,0.8266401197471598,0.005250891796071592
Fencing,popularity,-17.322170394119972,0.017281232123746704
Fencing,normalizedcountry,0.27640811207843696,0.002621059327437818
Fencing,CV,-9.011634097602881,0.07339877751887058
Figure Skating,drug,1.0,0.0
Figure Skating,equity,-1.6903773908836355,0.0028210055628326834
Figure Skating,popularity,-0.5566681505801414,4.909100869654161e-06
Figure Skating,normalizedcountry,0.6497610154169964,0.00021638467369306332
Figure Skating,CV,-0.43417458268410725,0.022730260431820786
Football,drug,1.0,0.0
Football,equity,0.4019954418954951,0.020439409460962985
Football,popularity,-0.29426778755086347,0.00012229025835386738
Football,normalizedcountry,0.22841387457703644,0.0006417233866359847
Football,CV,0.38840031435749944,0.020457061409622595
Freestyle Skiing,drug,1.0,0.0
Golf,drug,1.0,0.0
Golf,equity,-2.2632329600462118,0.15296404500216618
Golf,popularity,-2.553396549473275,0.0032765511413337827
Golf,normalizedcountry,-1.0294277959799376,0.01831558585871893
Golf,CV,-8.68069127490145,0.05634992683831494
Gymnastics,drug,0.013641004269582813,0.08877230961573754
Gymnastics,equity,0.7388013086806439,0.010814925929023916
Gymnastics,popularity,-4.828216528505315,0.024167299436799686
Gymnastics,normalizedcountry,0.6690591654159004,0.0016673993841451365
Gymnastics,CV,-7.06042192034487,0.11458466504254795
Handball,drug,1.0,0.0
Handball,equity,0.3253745515211812,0.011057611420713542
Handball,popularity,0.11618137459752598,1.5739367476012035e-05
Handball,normalizedcountry,-1.7270956457212407,0.00028786009593724206
Handball,CV,-1.5106226568617274,0.015266691338993941
Hockey,drug,1.0,0.0
Hockey,equity,0.6428209468255599,0.018641897388491105
Hockey,popularity,0.1483359542407281,3.1220134727177795e-05
Hockey,normalizedcountry,0.10698235737415118,0.0002753317308281865
Hockey,CV,-0.20753106410483202,0.00922700100023674
Ice Hockey,drug,1.0,0.0
Ice Hockey,equity,1.0,0.0
Ice Hockey,popularity,-1.1466969290212359,4.1267369277065005e-05
Ice Hockey,normalizedcountry,-0.5672693076277071,0.0003085561449392048
Ice Hockey,CV,-0.5011160988704346,0.013148249811244152
Jeu De Paume,drug,1.0,0.0
Judo,drug,0.01812328098894289,0.20183021446338395
Judo,equity,0.6234821307646513,0.015666312796572202
Judo,popularity,0.7052837506390579,1.4821965905879274e-05
Judo,normalizedcountry,0.7238119148755653,0.006168584162341717
Judo,CV,-6.149288747054226,0.49280245234831876
Lacrosse,drug,1.0,0.0
Luge,drug,1.0,0.0
Luge,equity,-3.450497678273975,0.004181547102619932
Luge,popularity,-0.3165442811310275,4.674590571410055e-06
Luge,normalizedcountry,0.39587293354323794,0.0001830874885078146
Luge,CV,-2.816815945898854,0.020261333866959556
Military Ski Patrol,drug,1.0,0.0
Modern Pentathlon,drug,-0.11793638089864511,0.20371285163041977
Modern Pentathlon,equity,0.4316481967125698,0.028644930885686485
Modern Pentathlon,popularity,-0.2324117912412318,6.658451081219273e-06
Modern Pentathlon,normalizedcountry,0.650134034718833,0.0003056201560612992
Modern Pentathlon,CV,-0.2995915496612498,0.10089629718147577
Motorboating,drug,1.0,0.0
Nordic Combined,drug,1.0,0.0
Nordic Combined,equity,1.0,0.0
Nordic Combined,popularity,0.05358053454682277,3.4316766482663255e-06
Nordic Combined,normalizedcountry,-1.6147386866999236,0.00019872014018919431
Nordic Combined,CV,-0.4929259711176055,0.020899331112917297
Polo,drug,1.0,0.0
Polo,equity,1.0,0.0
Polo,popularity,-52.061974654384876,1.4649827517725342e-05
Polo,normalizedcountry,-1.1830018976952132,0.00014667044000139714
Polo,CV,-1.8745297277078885,0.01847543652242066
Racquets,drug,1.0,0.0
Rhythmic Gymnastics,drug,1.0,0.0
Rhythmic Gymnastics,equity,1.0,0.0
Rhythmic Gymnastics,popularity,0.23391296691866015,2.5243524037547124e-06
Rhythmic Gymnastics,normalizedcountry,-2.1079804201901604,0.00015054280160296083
Rhythmic Gymnastics,CV,-5.047614217679706,0.02345746098262957
Roque,drug,1.0,0.0
Rowing,drug,0.07999098713617026,0.10631215259759812
Rowing,equity,0.6210810360549457,0.013734395013671803
Rowing,popularity,-1.909226930249142,0.0006288622176713128
Rowing,normalizedcountry,0.825533398139964,0.001282844068519
Rowing,CV,-1.001249091256371,0.03640195602311031
Rugby,drug,1.0,0.0
Rugby,equity,-0.33333333333333326,0.0625
Rugby,popularity,-1.9227721008284222,0.00018942769725590898
Rugby,normalizedcountry,-17.52889182457945,0.00010293828791433024
Rugby,CV,-0.6846193167331145,0.021889435073606838
Rugby Sevens,drug,1.0,0.0
Sailing,drug,-0.19126588864666116,0.03838523418972573
Sailing,equity,0.4684093527618066,0.015736825908387188
Sailing,popularity,-65.02104281628208,0.0015548873678805299
Sailing,normalizedcountry,0.7821707456960384,0.002654467292948076
Sailing,CV,0.21446425469407315,0.011089307976652488
Shooting,drug,-0.11812905184913425,0.06957247433727946
Shooting,equity,0.570037305083239,0.014572783211693958
Shooting,popularity,-2.449522689233731,0.00952052381258303
Shooting,normalizedcountry,0.8245206523339726,0.0048739972880115215
Shooting,CV,-12.54568716225271,0.14020493458903457
Short Track Speed Skating,drug,1.0,0.0
Skeleton,drug,1.0,0.0
Ski Jumping,drug,1.0,0.0
Ski Jumping,equity,1.0,0.0
Ski Jumping,popularity,-0.19691022030143746,5.880175275773207e-06
Ski Jumping,normalizedcountry,-0.5946156718964264,0.00017469900583220847
Ski Jumping,CV,-1.3186891892711978,0.03035202987512941
Snowboarding,drug,1.0,0.0
Softball,drug,1.0,0.0
Softball,equity,1.0,0.0
Softball,popularity,-484.2957690427425,1.6505403575922347e-06
Softball,normalizedcountry,1.0,0.0
Softball,CV,-4.075962717475241,0.12169166099795203
Speed Skating,drug,1.0,0.0
Speed Skating,equity,0.5891538961713464,0.01725931342324056
Speed Skating,popularity,-0.13699753484343913,2.5487063369579256e-05
Speed Skating,normalizedcountry,0.38951367717349417,0.0002858432627100995
Speed Skating,CV,-0.9033661049714068,0.02354085890849389
Swimming,drug,0.04782545662321669,0.19572476724967214
Swimming,equity,0.5849115099854163,0.010001663823707206
Swimming,popularity,-0.45938721457176923,0.0012530820826045822
Swimming,normalizedcountry,0.6914820741630789,0.021187655477787764
Swimming,CV,-16.517719430510834,0.17172358981673094
Synchronized Swimming,drug,1.0,0.0
Synchronized Swimming,equity,1.0,0.0
Synchronized Swimming,popularity,0.08963800226729624,2.7656807585133027e-06
Synchronized Swimming,normalizedcountry,-0.8066087190012161,0.0012646261033008514
Synchronized Swimming,CV,-0.42250929706019447,0.006970697822335928
Table Tennis,drug,1.0,0.0
Table Tennis,equity,-220.88320966297172,0.0033555036027311694
Table Tennis,popularity,-2.437258418095409,6.199128485496831e-06
Table Tennis,normalizedcountry,-0.10790699126493886,0.0003696791695343217
Table Tennis,CV,-0.6811481927151819,0.01507359368299477
Taekwondo,drug,1.0,0.0
Taekwondo,equity,-374.64686563661854,0.0195303561977785
Taekwondo,popularity,-0.20868743580083038,2.3998085242540628e-06
Taekwondo,normalizedcountry,-59.85138806665646,0.001806525583228867
Taekwondo,CV,-359.7285653283974,0.008572753563885444
Tennis,drug,1.0,0.0
Tennis,equity,0.15999197365728046,0.020732190312980743
Tennis,popularity,-2.79802642209461,0.0003896154875494843
Tennis,normalizedcountry,0.844386754410452,0.0015839699364953881
Tennis,CV,-0.30542375280830236,0.009372298602750401
Trampolining,drug,1.0,0.0
Trampolining,equity,1.0,0.0
Trampolining,popularity,-132.70570767624992,3.913119773537459e-07
Trampolining,normalizedcountry,-2.7209396018628134,0.0001395352350698555
Trampolining,CV,-1.868008448763403,0.010497746915414425
Triathlon,drug,-0.046760169796387085,0.134915755218201
Triathlon,equity,-2629.505511577127,0.009319150793772326
Triathlon,popularity,-0.3723457744083378,2.2301302671785772e-06
Triathlon,normalizedcountry,0.5354523418250854,0.00012412132741860992
Triathlon,CV,-6.942284808526497,0.015390481111462549
Tug-Of-War,drug,1.0,0.0
Tug-Of-War,equity,1.0,0.0
Tug-Of-War,popularity,-4.150381863962741,0.00023162527345148157
Tug-Of-War,normalizedcountry,-1.19240681974002,5.700257731324053e-05
Tug-Of-War,CV,-6.310380127290004,0.03660200340285458
Volleyball,drug,-0.08405934933995907,0.1975397036575037
Volleyball,equity,-0.33663491916824917,0.002438536222525953
Volleyball,popularity,-0.09607087733488573,2.7545622701602543e-05
Volleyball,normalizedcountry,0.36162544473096936,0.00010349977996669492
Volleyball,CV,-1.422602089563593,0.009793999884173668
Water Polo,drug,1.0,0.0
Water Polo,equity,0.3583482038658754,0.021748342800327447
Water Polo,popularity,-1.173506383944125,3.769218195044667e-05
Water Polo,normalizedcountry,-0.1604584337111854,0.0005194596479896518
Water Polo,CV,-0.6534391278334115,0.012078150693068333
Weightlifting,drug,0.10309335663008246,59.993088812076714
Weightlifting,equity,0.33950258344100626,0.021648086966332743
Weightlifting,popularity,-3.682738642765031,5.284041895942042e-05
Weightlifting,normalizedcountry,0.8452699937532185,0.002762648558734034
Weightlifting,CV,-1.2688540866931115,0.043241215607012794
Wrestling,drug,0.05976338084500388,1.9859886811262748
Wrestling,equity,0.21740583620213916,0.017440407816089642
Wrestling,popularity,-2.109242680801801,0.00010196326247927752
Wrestling,normalizedcountry,0.8372760050166205,0.0015413020375311878
Wrestling,CV,-24.991105180375772,0.18748387577351217
